CITY_CODE,CITY_NAME_DEF,COUNTRY_ISO,NAME_DEF,LONG_NAME_DEF
MBJ,Montego Bay,JM,Jamaica,Jamaica
PRN,Pristina,XK,Kosovo,Kosovo
AMM,Amman,JO,Jordan,Jordan
AQJ,Aqaba,JO,Jordan,Jordan
FUK,Fukuoka,JP,Japan,Japan
OBO,Obihiro,JP,Japan,Japan
OIT,Oita,JP,Japan,Japan
OKA,Okinawa,JP,Japan,Japan
OKJ,Okayama,JP,Japan,Japan
OSA,Osaka,JP,Japan,Japan
HIJ,Hiroshima,JP,Japan,Japan
ISG,Ishigaki,JP,Japan,Japan
MYJ,Matsuyama,JP,Japan,Japan
NGO,Nagoya,JP,Japan,Japan
NGS,Nagasaki,JP,Japan,Japan
AXT,Akita,JP,Japan,Japan
TYO,Tokyo,JP,Japan,Japan
UBJ,Ube,JP,Japan,Japan
KCZ,Kochi,JP,Japan,Japan
KKJ,Kitakyushu,JP,Japan,Japan
KMI,Miyazaki,JP,Japan,Japan
KMJ,Kumamoto,JP,Japan,Japan
KMQ,Komatsu,JP,Japan,Japan
KOJ,Kagoshima,JP,Japan,Japan
YGJ,Yonago,JP,Japan,Japan
ONJ,Odate Noshiro,JP,Japan,Japan
HSG,Saga,JP,Japan,Japan
IWK,Iwakuni,JP,Japan,Japan
TKS,Tokushima,JP,Japan,Japan
TOY,Toyama,JP,Japan,Japan
SPK,Sapporo,JP,Japan,Japan
TAK,Takamatsu,JP,Japan,Japan
NBO,Nairobi,KE,Kenya,Kenya
MBA,Mombasa,KE,Kenya,Kenya
PNH,Phnom-Penh,KH,Cambodia,Cambodia
